"Id";"CreationTime";"Operation";"UserId";"UserType";"UserKey";"Activity";"ItemName";"WorkSpaceName";"WorkspaceId";"ObjectId";"DatasetName";"DatasetId";"ReportName";"ReportId";"ReportType";"CapacityId";"CapacityName";"ClientIP";"UserAgent";"IsSuccess";"RequestId";"ActivityId";"DistributionMethod";"ConsumptionMethod"
"0c7e48f4-74a0-4d63-8791-27631a02dd42";"2026-04-28T12:25:50";"UpdateDataset";"erwan@contoso.com";"Regular";"erwan@contoso.com";"UpdateDataset";"Report_24";"Marketing";"WS005";"RP024";"Dataset_11";"DS011";"Report_24";"RP024";"PowerBIReport";"CAP001";"F64-Prod";"10.0.14.116";"Mozilla/5.0";"True";"cdcf9cc5-787f-4769-8f25-4156751f315b";"3ea65235-9702-42f8-9be1-022eaebee04a";"Workspace";"PowerBI Web"
"ed205dd5-1540-4081-b573-71f66e0179be";"2026-04-28T18:29:41";"GetWorkspaces";"charlie@contoso.com";"Regular";"charlie@contoso.com";"GetWorkspaces";"Report_12";"Finance";"WS001";"RP012";"Dataset_5";"DS005";"Report_12";"RP012";"PowerBIReport";"CAP001";"F64-Prod";"10.0.45.106";"Mozilla/5.0";"True";"a628d872-0c4f-440e-acbe-54eb8fbb8743";"f12d367b-f652-4369-90b3-ae3013f56283";"Workspace";"PowerBI Web"
"b5cb7d48-1612-4dc2-8b82-f747ec3d0f63";"2026-04-28T18:27:52";"RefreshDataset";"charlie@contoso.com";"Regular";"charlie@contoso.com";"RefreshDataset";"Report_13";"Ventes";"WS002";"RP013";"Dataset_10";"DS010";"Report_13";"RP013";"PowerBIReport";"CAP002";"F32-Dev";"10.0.97.50";"Mozilla/5.0";"True";"dc8279d9-6a8c-4f4e-bd7a-6a8d870aeb30";"566bacde-7208-4492-bad8-b9f43de08473";"Workspace";"PowerBI Web"
"c780f4cc-b764-4554-910a-31d03897649d";"2026-04-28T07:08:31";"GetDatasets";"diane@contoso.com";"Regular";"diane@contoso.com";"GetDatasets";"Report_24";"Marketing";"WS005";"RP024";"Dataset_3";"DS003";"Report_24";"RP024";"PowerBIReport";"CAP002";"F32-Dev";"10.0.97.12";"Mozilla/5.0";"True";"1ec519fd-c087-4d31-a039-3dd51646f706";"efc3a44f-d84f-4504-9926-44602470faf5";"Workspace";"PowerBI Web"
"5d3a2ae4-252f-4a34-ad74-86c76a7eabb7";"2026-04-28T07:23:25";"CreateDataset";"diane@contoso.com";"Regular";"diane@contoso.com";"CreateDataset";"Report_25";"Marketing";"WS005";"RP025";"Dataset_5";"DS005";"Report_25";"RP025";"PowerBIReport";"CAP002";"F32-Dev";"10.0.37.72";"Mozilla/5.0";"True";"19ff87d6-5f51-471b-b9d1-a5ee9aa3fb7f";"2e8f9ee5-08d1-4379-addf-2743e4759853";"Workspace";"PowerBI Web"
"7beb01ee-f0f3-4519-b32b-88cf7eab4271";"2026-04-28T12:19:28";"RefreshDataset";"sp-etl@contoso.com";"ServicePrincipal";"sp-etl@contoso.com";"RefreshDataset";"Report_20";"Ventes";"WS002";"RP020";"Dataset_3";"DS003";"Report_20";"RP020";"PowerBIReport";"CAP001";"F64-Prod";"10.0.157.57";"Mozilla/5.0";"True";"8042304d-70fe-4ce9-9433-d4eec41c2885";"569c5bba-099c-406f-8ad7-2f099c249f6f";"Workspace";"PowerBI Web"
"40a229db-72e9-4ce7-a6c8-d3c7fd3f7611";"2026-04-28T11:03:11";"GetDatasets";"erwan@contoso.com";"Regular";"erwan@contoso.com";"GetDatasets";"Report_16";"Finance";"WS001";"RP016";"Dataset_11";"DS011";"Report_16";"RP016";"PowerBIReport";"CAP001";"F64-Prod";"10.0.50.253";"Mozilla/5.0";"True";"16797d3a-3b45-4873-b1d1-a5d49a5a307b";"5896870e-5e15-43e1-b18c-f8fd2be7118f";"Workspace";"PowerBI Web"
"538b8e9c-dfbd-46f1-9653-5f742410b383";"2026-04-28T07:59:54";"ExportReport";"alice@contoso.com";"Regular";"alice@contoso.com";"ExportReport";"Report_22";"RH";"WS003";"RP022";"Dataset_6";"DS006";"Report_22";"RP022";"PowerBIReport";"CAP002";"F32-Dev";"10.0.167.231";"Mozilla/5.0";"True";"2ece62f3-4209-455a-87b4-cbf2e252e4ab";"16651713-4aeb-4c34-b43e-8090a949e791";"Workspace";"PowerBI Web"
"d40327e3-b1cb-4c10-9331-7587cc457f5d";"2026-04-28T09:24:23";"CreateDataset";"sp-etl@contoso.com";"ServicePrincipal";"sp-etl@contoso.com";"CreateDataset";"Report_7";"RH";"WS003";"RP007";"Dataset_2";"DS002";"Report_7";"RP007";"PowerBIReport";"CAP001";"F64-Prod";"10.0.160.52";"Mozilla/5.0";"True";"76d91456-a20f-4932-99e9-7ac30b97d3ea";"5ddbc227-c02d-4315-9dab-22bd6ce9ef13";"Workspace";"PowerBI Web"
"e012b070-b800-4a90-854f-6310c15bea2d";"2026-04-28T19:19:23";"DeleteReport";"sp-etl@contoso.com";"ServicePrincipal";"sp-etl@contoso.com";"DeleteReport";"Report_9";"Finance";"WS001";"RP009";"Dataset_15";"DS015";"Report_9";"RP009";"PowerBIReport";"CAP002";"F32-Dev";"10.0.134.93";"Mozilla/5.0";"True";"2f272c51-3470-4e4c-a235-ae4e9a708d54";"59e858f6-75f7-46c2-a2e7-4f1e87cba9cd";"Workspace";"PowerBI Web"
"24daf218-eac5-4449-8ac9-f4b93d3edf09";"2026-04-28T12:39:02";"GetReports";"bob@contoso.com";"Regular";"bob@contoso.com";"GetReports";"Report_6";"Finance";"WS001";"RP006";"Dataset_11";"DS011";"Report_6";"RP006";"PowerBIReport";"CAP001";"F64-Prod";"10.0.54.66";"Mozilla/5.0";"True";"43d3409f-ec4e-4935-8c5a-ff958550f5d9";"7966562b-2531-4211-8117-969476811e11";"Workspace";"PowerBI Web"
"6fdf380c-e0ef-41a9-b853-dc15305f171e";"2026-04-28T14:23:52";"RefreshDataset";"diane@contoso.com";"Regular";"diane@contoso.com";"RefreshDataset";"Report_3";"RH";"WS003";"RP003";"Dataset_4";"DS004";"Report_3";"RP003";"PowerBIReport";"CAP001";"F64-Prod";"10.0.63.158";"Mozilla/5.0";"True";"e27be5a7-9177-4388-b94a-0807df4c79f2";"f8e77bff-eefe-4345-bc62-d11ebfa735f1";"Workspace";"PowerBI Web"
"700f67b8-454a-4196-8116-4053f892c2fb";"2026-04-28T16:34:55";"CreateDataset";"diane@contoso.com";"Regular";"diane@contoso.com";"CreateDataset";"Report_15";"Finance";"WS001";"RP015";"Dataset_8";"DS008";"Report_15";"RP015";"PowerBIReport";"CAP001";"F64-Prod";"10.0.230.5";"Mozilla/5.0";"True";"191ddf40-431d-48cd-9735-dee9bbdb9091";"e67420ef-416a-41de-90aa-5e523fbbf529";"Workspace";"PowerBI Web"
"2d1a465d-3c7f-4ce9-a85f-e232e64eb556";"2026-04-28T10:07:31";"UpdateDataset";"erwan@contoso.com";"Regular";"erwan@contoso.com";"UpdateDataset";"Report_2";"RH";"WS003";"RP002";"Dataset_12";"DS012";"Report_2";"RP002";"PowerBIReport";"CAP001";"F64-Prod";"10.0.173.90";"Mozilla/5.0";"True";"fda7708b-0f1e-4dd4-aa9c-6368b9482bd9";"71e6994d-7208-4cca-96e7-a406fadce574";"Workspace";"PowerBI Web"
"f5045b1b-703e-4ffe-a3b6-8ed8884747fc";"2026-04-28T17:29:03";"DeleteReport";"charlie@contoso.com";"Regular";"charlie@contoso.com";"DeleteReport";"Report_4";"Production";"WS004";"RP004";"Dataset_4";"DS004";"Report_4";"RP004";"PowerBIReport";"CAP001";"F64-Prod";"10.0.201.1";"Mozilla/5.0";"True";"65fa83e0-ac2d-4fcb-ab28-f956c01f81f5";"ddfe6585-504f-4aad-9f95-c1dd283d0270";"Workspace";"PowerBI Web"
"151fce98-c5f1-42a1-967f-b1f8c5931452";"2026-04-28T10:57:44";"RefreshDataset";"sp-etl@contoso.com";"ServicePrincipal";"sp-etl@contoso.com";"RefreshDataset";"Report_16";"Ventes";"WS002";"RP016";"Dataset_3";"DS003";"Report_16";"RP016";"PowerBIReport";"CAP001";"F64-Prod";"10.0.85.136";"Mozilla/5.0";"True";"a3e19f00-6ac3-40a1-bf70-bda3db0e656d";"39a3f770-bfb3-425b-ba50-e559c4492c2e";"Workspace";"PowerBI Web"
"8accffff-75e7-4d0b-9238-f1f28e466bf7";"2026-04-28T18:42:14";"ExportReport";"diane@contoso.com";"Regular";"diane@contoso.com";"ExportReport";"Report_4";"Ventes";"WS002";"RP004";"Dataset_5";"DS005";"Report_4";"RP004";"PowerBIReport";"CAP001";"F64-Prod";"10.0.70.171";"Mozilla/5.0";"True";"b8e09eb0-9f40-4a61-a23d-61ba9a740f5a";"e9071582-50c9-48cc-a6af-2e80c80810fe";"Workspace";"PowerBI Web"
"7f877294-fed0-42d7-98eb-2a0eed28ca18";"2026-04-28T10:36:01";"ViewReport";"sp-monitoring@contoso.com";"ServicePrincipal";"sp-monitoring@contoso.com";"ViewReport";"Report_24";"Finance";"WS001";"RP024";"Dataset_4";"DS004";"Report_24";"RP024";"PowerBIReport";"CAP001";"F64-Prod";"10.0.57.107";"Mozilla/5.0";"True";"0997a8f1-e294-49fa-ae49-e6660395f02f";"0e6cb490-d0eb-4a70-80e7-1abbec5187d4";"Workspace";"PowerBI Web"
"d0ad200d-b523-47d1-a57d-b96641c11601";"2026-04-28T17:32:29";"GetWorkspaces";"bob@contoso.com";"Regular";"bob@contoso.com";"GetWorkspaces";"Report_25";"Ventes";"WS002";"RP025";"Dataset_13";"DS013";"Report_25";"RP025";"PowerBIReport";"CAP001";"F64-Prod";"10.0.41.22";"Mozilla/5.0";"True";"2322d63c-3062-45f6-9d99-883df1f7454f";"dcdb9d71-d22c-422e-8f53-2e049009495b";"Workspace";"PowerBI Web"
"2823ce84-882d-4858-9d0c-ea6151fea069";"2026-04-28T19:29:38";"ViewReport";"bob@contoso.com";"Regular";"bob@contoso.com";"ViewReport";"Report_17";"Finance";"WS001";"RP017";"Dataset_10";"DS010";"Report_17";"RP017";"PowerBIReport";"CAP001";"F64-Prod";"10.0.44.134";"Mozilla/5.0";"True";"fe5004a2-0ef1-4b0f-a030-65da37c31a83";"6fc4caeb-6089-4a5d-924f-950ae8f326fc";"Workspace";"PowerBI Web"
"0d408bc0-71fd-41ab-8340-6ffcdbaf3364";"2026-04-28T17:03:09";"DeleteReport";"bob@contoso.com";"Regular";"bob@contoso.com";"DeleteReport";"Report_2";"RH";"WS003";"RP002";"Dataset_12";"DS012";"Report_2";"RP002";"PowerBIReport";"CAP001";"F64-Prod";"10.0.5.68";"Mozilla/5.0";"True";"f1e816b6-0ff1-4899-9737-32fbd91eb274";"ef3758c5-8228-44da-b275-955bd9523b18";"Workspace";"PowerBI Web"
"51e1e024-be8d-4293-a0b9-87eeaaf99e42";"2026-04-28T10:30:15";"DeleteReport";"alice@contoso.com";"Regular";"alice@contoso.com";"DeleteReport";"Report_15";"Ventes";"WS002";"RP015";"Dataset_12";"DS012";"Report_15";"RP015";"PowerBIReport";"CAP002";"F32-Dev";"10.0.154.12";"Mozilla/5.0";"True";"58049790-632d-415b-98e5-41598dbfd093";"bebc9298-7e25-4d4c-b046-f72d44582b86";"Workspace";"PowerBI Web"
"c7b9c884-902e-458d-8352-d56be2f40b04";"2026-04-28T18:54:55";"UpdateDataset";"sp-etl@contoso.com";"ServicePrincipal";"sp-etl@contoso.com";"UpdateDataset";"Report_4";"Marketing";"WS005";"RP004";"Dataset_14";"DS014";"Report_4";"RP004";"PowerBIReport";"CAP002";"F32-Dev";"10.0.16.18";"Mozilla/5.0";"True";"45919473-354e-44e0-bc8a-47baa618ef02";"07642579-7f91-48ea-8483-fe6ac08af24c";"Workspace";"PowerBI Web"
"c84b1bec-d624-41d4-ba35-aebbbb4b3a50";"2026-04-28T14:55:30";"ExportReport";"sp-etl@contoso.com";"ServicePrincipal";"sp-etl@contoso.com";"ExportReport";"Report_16";"Finance";"WS001";"RP016";"Dataset_8";"DS008";"Report_16";"RP016";"PowerBIReport";"CAP001";"F64-Prod";"10.0.97.185";"Mozilla/5.0";"True";"c3031483-5dbe-4141-aa99-352634f7ae27";"9f6f60a7-8cb7-4c29-86f7-506e1241e940";"Workspace";"PowerBI Web"
"4d94f248-181d-4a40-a545-ec24b7d5125b";"2026-04-28T17:35:23";"ViewDashboard";"bob@contoso.com";"Regular";"bob@contoso.com";"ViewDashboard";"Report_7";"Finance";"WS001";"RP007";"Dataset_6";"DS006";"Report_7";"RP007";"PowerBIReport";"CAP002";"F32-Dev";"10.0.90.31";"Mozilla/5.0";"True";"75b0b4fc-2637-4c33-ae75-37d16ee6c8d7";"274f92ce-e24b-446c-b154-2f8571e484bc";"Workspace";"PowerBI Web"
"a1affff2-ba83-4578-8a96-1b3f83392f96";"2026-04-28T08:34:11";"DeleteReport";"bob@contoso.com";"Regular";"bob@contoso.com";"DeleteReport";"Report_19";"RH";"WS003";"RP019";"Dataset_3";"DS003";"Report_19";"RP019";"PowerBIReport";"CAP001";"F64-Prod";"10.0.113.56";"Mozilla/5.0";"True";"1f7b7a1c-256d-4676-b78b-fa1a225e2c35";"494f1a47-d459-47bf-bc49-e4bcaf2f0163";"Workspace";"PowerBI Web"
"80475311-1437-4531-b52e-cf04943a203f";"2026-04-28T09:57:36";"DeleteReport";"bob@contoso.com";"Regular";"bob@contoso.com";"DeleteReport";"Report_5";"RH";"WS003";"RP005";"Dataset_15";"DS015";"Report_5";"RP005";"PowerBIReport";"CAP001";"F64-Prod";"10.0.69.252";"Mozilla/5.0";"True";"e0fb2bab-25dc-4eb4-ada5-96e7ce3dffb3";"462b0724-f092-4898-992a-681ec7060e4c";"Workspace";"PowerBI Web"
"73fb30e6-b592-4399-84db-140251683afd";"2026-04-28T10:19:33";"DeleteReport";"charlie@contoso.com";"Regular";"charlie@contoso.com";"DeleteReport";"Report_19";"RH";"WS003";"RP019";"Dataset_12";"DS012";"Report_19";"RP019";"PowerBIReport";"CAP001";"F64-Prod";"10.0.143.151";"Mozilla/5.0";"False";"d889e84c-fcfc-45ca-90d3-e1ed91fe0c05";"f7514546-5dc0-409b-a33f-18db0d56c798";"Workspace";"PowerBI Web"
"e4884061-a3a0-42e5-a199-2ddc92d839c3";"2026-04-28T09:29:54";"GetWorkspaces";"bob@contoso.com";"Regular";"bob@contoso.com";"GetWorkspaces";"Report_16";"Marketing";"WS005";"RP016";"Dataset_15";"DS015";"Report_16";"RP016";"PowerBIReport";"CAP001";"F64-Prod";"10.0.11.191";"Mozilla/5.0";"True";"b746739a-1674-471a-892e-9c1477a369d2";"7fbcdfd9-9a6d-4c3f-9994-a3478c202243";"Workspace";"PowerBI Web"
"95fe6853-ab83-43f6-abbc-479abd86c306";"2026-04-28T16:08:04";"GetWorkspaces";"diane@contoso.com";"Regular";"diane@contoso.com";"GetWorkspaces";"Report_13";"Production";"WS004";"RP013";"Dataset_8";"DS008";"Report_13";"RP013";"PowerBIReport";"CAP001";"F64-Prod";"10.0.169.242";"Mozilla/5.0";"True";"86ef5c4b-1ae6-4106-9683-883803ac4af1";"14580bcb-bab0-4738-adda-8763d282ab34";"Workspace";"PowerBI Web"
